[I] 2008-11-12 19:22:28.816 (0x1238):ErrorCode[0]_Visual IVR Editor Started...,Version:6.9.6
[I] 2008-11-12 19:24:19.768 (0x15B8):ErrorCode[0]_Visual IVR Editor Started...,Version:6.9.6
[I] 2008-11-12 19:24:20.216 (0x15B8):ErrorCode[0]_Connect to Database successful! ,ConnectionString:Provider=SQLOLEDB;Integrated Security=SSPI;Data Source=127.0.0.1;Initial Catalog=dbCallcenter
[I] 2008-11-12 19:24:26.784 (0x15B8):ErrorCode[0]_Open CallFlow and Nodes Record...,Callflow ID:108 Callflow Name:PowerDISA
[I] 2008-11-12 19:42:32.016 (0x15B8):ErrorCode[0]_Successful Synchronized CallFlow! CallFlow ID:108.
[I] 2008-11-12 19:44:22.592 (0x15B8):ErrorCode[0]_Update node info,Node ID:313
[I] 2008-11-12 19:44:26.128 (0x15B8):ErrorCode[0]_Callflow saved successful!,Callflow ID:108
[I] 2008-11-12 19:44:57.280 (0x15B8):ErrorCode[0]_Successful Synchronized CallFlow! CallFlow ID:108.
[I] 2008-11-12 19:56:00.344 (0x15B8):ErrorCode[0]_Update node info,Node ID:326
[I] 2008-11-12 19:56:06.000 (0x15B8):ErrorCode[0]_Update node info,Node ID:326
[I] 2008-11-12 19:56:21.784 (0x15B8):ErrorCode[0]_Update node info,Node ID:331
[I] 2008-11-12 19:56:43.736 (0x15B8):ErrorCode[0]_Update node info,Node ID:336
[I] 2008-11-12 19:56:47.672 (0x15B8):ErrorCode[0]_Callflow saved successful!,Callflow ID:108
[I] 2008-11-12 19:56:52.424 (0x15B8):ErrorCode[0]_Successful Synchronized CallFlow! CallFlow ID:108.
[I] 2008-11-12 21:09:20.064 (0x15B8):ErrorCode[0]_Update node info,Node ID:352
[I] 2008-11-12 21:09:41.456 (0x15B8):ErrorCode[0]_Update node info,Node ID:352
[I] 2008-11-12 21:09:44.904 (0x15B8):ErrorCode[0]_Callflow saved successful!,Callflow ID:108
[I] 2008-11-12 21:11:04.280 (0x15B8):ErrorCode[0]_Successful Synchronized CallFlow! CallFlow ID:108.
[I] 2008-11-12 21:14:46.168 (0x15B8):ErrorCode[0]_Update node info,Node ID:410
[I] 2008-11-12 21:14:47.440 (0x15B8):ErrorCode[0]_Callflow saved successful!,Callflow ID:108
[I] 2008-11-12 21:15:04.016 (0x15B8):ErrorCode[0]_Update node info,Node ID:410
